"Step","algo: CAPQL - eval/hypervolume","algo: CAPQL - eval/hypervolume__MIN","algo: CAPQL - eval/hypervolume__MAX","algo: PGMORL - eval/hypervolume","algo: PGMORL - eval/hypervolume__MIN","algo: PGMORL - eval/hypervolume__MAX"
"6454","91262.9948329345","68960.80287688712","107655.71566990249","","",""
"6555","86123.14874365422","60825.44908100725","107933.85940703575","","",""
"6656","90817.41220747441","72980.59961396316","105442.69485317852","","",""
"6757","89355.35369086388","65900.38314021402","108048.747539617","","",""
"6858","87345.62304364733","63123.5420712836","104767.99547205682","","",""
"6959","89219.37158642495","66244.65942928402","105792.72624384628","","",""
"7060","89347.02085478837","71286.08744726333","103499.2995853837","","",""
"7161","89136.56271631295","68537.94437615055","105042.93121008367","","",""
"7262","89825.43077219113","68746.03925193177","106663.6585466014","","",""
"7363","87707.82083744906","63064.06600172998","107073.56195732595","","",""
"7464","89284.51108998444","67570.60192876283","106156.25090206848","","",""
"7565","89634.71259081965","69695.71520889152","107210.0350021251","","",""
"7666","88915.65631101992","67190.63421967255","106959.11346576127","","",""
"7767","91346.61870929094","72316.47083734945","108755.48841435647","","",""
"7868","90794.11261963773","70489.13624488829","108765.0126169689","","",""
"7969","89209.65913676874","68660.42094445645","106203.0975538494","","",""
"8070","88878.91258104269","64846.756168954686","109630.22857776887","","",""
"8171","88672.14124778418","62869.45705935767","109614.83815347253","","",""
"8272","91132.60279246669","68914.19329008015","109918.9986865494","","",""
"8373","90547.87567714899","66694.00251452225","110117.3976690315","","",""
"8474","88335.32499106096","63200.688570395956","106878.24754806564","","",""
"8575","89565.82052543967","66219.92723230751","109214.7043003015","","",""
"8676","87412.97452754702","63476.75691238914","108087.05050407056","","",""
"8777","87807.39673352618","60603.44753118352","105651.584070835","","",""
"8878","87812.9724351844","63642.75372340891","110562.79372123283","","",""
"8979","89669.02156469088","65135.48692979232","109450.62378633302","","",""
"9080","87260.13079853739","60946.8713078321","109762.58573206759","","",""
"9181","90421.1414491016","63572.36805912766","113414.45231247957","","",""
"9282","90220.45639637842","63606.577342073804","110965.99040347744","","",""
"9383","89783.67903846204","66989.19266546662","108836.36368832625","","",""
"9484","90562.18807045867","65287.8703527249","110261.54869319919","","",""
"9585","88863.42545157512","65620.39691838803","108548.53427848809","","",""
"9686","89754.64163719706","66383.79609158776","108744.0352452946","","",""
"9787","89197.83003361161","65002.887757580946","105737.28271227231","","",""
"9888","90814.02280485904","64696.26640543447","111726.50771871545","","",""
"9989","90312.7094369523","66995.57889687296","111060.42373959301","","",""
"10090","91412.49524297188","71874.44579900302","107546.03150972715","","",""
"10191","90538.92279326815","66209.55265235716","109277.7565185648","","",""
"10292","87973.99366687289","65587.13750530356","103809.05847187675","","",""
"10393","91712.78152411779","64935.752036981","108967.97000566371","","",""
"10494","90590.7099375821","63931.869072307265","107785.69236901167","","",""
"10595","89154.3549712086","57886.91835615989","110450.41225783384","","",""
"10696","85100.68975636827","50133.40542824195","110393.67862761636","","",""
"10797","89502.20944129555","64579.86139344528","108445.87326262474","","",""
"10898","91181.28887553098","63830.441087962434","112598.6267528073","","",""
"10999","89075.2171425069","63621.36220371045","109716.2948092846","","",""
"11100","87111.59550768166","59157.06592038613","106729.53682909164","","",""
"11201","88317.34492569767","58036.25739342863","110410.37678377355","","",""
"11302","91000.62397793109","65833.05935176958","108654.18450168727","","",""
"11403","90572.23635772674","66203.74204773047","111332.12838899363","","",""
"11504","91172.67806026584","66222.09802187775","111801.58434083051","","",""
"11605","90483.43130201304","66043.69331470515","111636.00084652564","","",""
"11706","91082.75882428109","65060.923922446455","112197.90060218575","","",""
"11807","91632.2108289658","66322.81588178355","109104.22363347873","","",""
"11908","93223.08930092097","65474.31994284435","113431.02112444221","","",""
"12009","91696.17811265541","66494.39915724559","109564.08869078988","","",""
"12110","91925.8713818263","63693.9478175937","110247.66316017075","","",""
"12211","93322.04862107073","65412.741955610436","115681.7975519302","","",""
"12312","96012.62229965867","66911.22614390786","117881.76721095803","","",""
"12413","96536.67419132889","69268.20044048106","116183.83592100404","","",""
"12514","96189.08050564602","68129.14252935129","114507.77676451941","","",""
"12615","95608.98367989731","67111.91913430046","113806.15708054317","","",""
"12716","95145.83087338156","65625.7134246998","116791.97199005914","","",""
"12817","94657.66148126467","67267.24507237217","115836.40278965578","","",""
"12918","90631.39252325763","65513.12712360558","106240.90649260995","","",""
"13019","92105.64840135485","67530.41432295863","107480.90480743954","","",""
"13120","94426.03429334902","69051.46841065728","111068.93404448322","","",""
"13221","95487.61761832579","67229.07735443825","114285.31898963342","","",""
"13322","94004.0248565484","67069.45082699598","114188.35847054218","","",""
"13423","93308.25959855765","68041.53681344565","109874.23824180267","","",""
"13524","95350.16802141773","66714.4846023054","115128.04069969083","","",""
"13625","92700.68234976346","66783.98551419098","111011.04214810373","","",""
"13726","91927.15234967989","64766.310850012975","105877.84253172856","","",""
"13827","93293.06879151954","66690.91687676558","109125.09718422664","","",""
"13928","90284.00832955685","64721.82954414062","106901.8604008272","","",""
"14029","93685.0662314814","66085.3479130167","115037.31684640118","","",""
"14130","90414.7965638752","66345.93768531884","104718.36945760754","","",""
"14231","93356.27205722086","65478.26691274825","111410.92935937081","","",""
"14332","94277.68683406427","71112.2469575197","109840.18178943062","","",""
"14433","92272.11224714346","70717.28108225507","103473.65629239765","","",""
"14534","93645.56801913661","64933.25472863764","115514.32242512281","","",""
"14635","92104.72497659299","64884.006500369134","107657.42654090234","","",""
"14736","90070.91145240441","61124.98027751009","106584.50868104401","","",""
"14837","92463.6278189416","65511.24807894377","109349.10262899152","","",""
"14938","97783.47689352983","76557.7179511277","112448.03980165656","","",""
"15039","95444.05261405172","67708.21382163421","111374.11493564503","","",""
"15140","96721.56776441228","73239.34621193219","111378.52579633046","","",""
"15241","93066.26971645548","64998.86010061245","111534.45265282865","","",""
"15342","91052.94932505886","61915.65011644905","111011.13669889825","","",""
"15443","92693.83929656186","63999.57168641969","115100.11262017666","","",""
"15544","94300.35814092764","65448.118911157544","116565.09280491713","","",""
"15645","92575.38399655522","68960.74102430411","107164.69708003744","","",""
"15746","90676.4854031632","68244.25189454292","103139.51969993167","","",""
"15847","96866.95839061716","73730.77025130687","114854.86069913175","","",""
"15948","98466.23624122287","80960.78614853937","111850.03545303093","","",""
"16049","93843.03974830452","67391.73165302703","113930.52935698326","","",""
"16150","93141.50831402831","68336.63445609456","109413.3945929989","","",""
"16251","94678.68044167338","76351.40543076757","105097.23192496931","","",""
"16352","95036.77642774524","78390.30849664495","106224.39392721666","","",""
"16453","101771.7924381212","76852.16961492918","118015.77607998237","","",""
"16554","94796.25862606456","72861.0082031135","110243.3284721351","","",""
"16655","94664.1783002083","67401.77296241031","112589.5360744083","","",""
"16756","96757.01584154682","70880.71279750076","113839.69728763054","","",""
"16857","96899.03228625403","72619.44129963731","111001.45987778663","","",""
"16958","97786.1243448928","76352.4661339027","110710.87058601783","","",""
"17059","99168.4141822779","70584.02375500656","115531.32205002698","","",""
"17160","93735.01200816808","64393.06001815659","109603.63237068467","","",""
"17261","99320.97136033913","77081.26466294826","111204.54208687684","","",""
"17362","97158.65187443006","64745.47657428447","114008.32701617238","","",""
"17463","95553.05758942613","63975.23443282021","111755.68172320968","","",""
"17564","98193.71898898465","70406.45732784866","115703.54174014225","","",""
"17665","99770.15293892822","72895.52808638412","116929.88054052723","","",""
"17766","96044.19677441934","59381.2313709054","118285.74294024076","","",""
"17867","94674.50942086498","63537.84088032883","112246.65151036283","","",""
"17968","98754.18546163959","68520.61722858582","114486.54511925831","","",""
"18069","95024.54462728281","72196.6354096737","107807.54645225154","","",""
"18170","99240.4683421296","73832.38121548214","114821.30230638054","","",""
"18271","91804.48555240489","65810.42147951761","106149.00144091733","","",""
"18372","99311.84039705509","73834.15343293262","114920.80501943282","","",""
"18473","97895.52476228296","71238.6384061637","112827.07106914879","","",""
"18574","98447.304478243","70403.0713165105","113900.72883101537","","",""
"18675","93967.97392645944","63633.514545487094","109647.88293754005","","",""
"18776","95945.51799015468","71969.88124170116","110045.5904542488","","",""
"18877","96344.56852220355","69810.49140409549","111299.28415484438","","",""
"18978","94860.87197741978","64760.520433714286","115070.9039446959","","",""
"19079","93504.6880774554","62317.00474858952","113485.15372039753","","",""
"19180","101619.57163937285","72142.96850789286","118934.49186063945","","",""
"19281","101654.47601131535","73520.93445256852","118802.35312639087","","",""
"19382","95335.04063556175","68685.48919384577","111665.19974553052","","",""
"19483","97026.01459515584","72532.69574650493","110546.19924817944","","",""
"19584","97268.56859141821","73522.26063707305","115408.27841053155","","",""
"19685","98567.43072104547","67644.65549705969","117060.56932972914","","",""
"19786","99467.66433830651","70531.19201426675","117078.99760753544","","",""
"19887","97830.76588556595","68899.49398571886","112593.53089275057","","",""
"19988","98327.37041185379","69000.56180025035","114831.29674604212","","",""
"20089","99757.53794510145","67308.38715348451","117385.05730631611","","",""
"20190","101430.26105954796","69400.1914037427","121263.10617576289","","",""
"20291","100137.53550936114","64019.12795415376","126706.25341902055","","",""
"20392","96298.77351948782","70944.86296881121","116781.53879396961","","",""
"20493","94116.41034234427","63866.82622108686","114674.79333987297","","",""
"20594","95275.80004071165","64463.095613259946","115655.39434160251","","",""
"20695","96425.51895314349","61241.139210889276","115275.61438253688","","",""
"20796","102226.1952777902","69708.0210381549","122759.95669721803","","",""
"20897","99130.67962864456","68137.16511782314","116535.07992663943","","",""
"20998","97312.63341928396","69979.19288295903","112181.26943333019","","",""
"21099","97577.75200592777","69050.73636723545","113363.50301369687","","",""
"21200","96053.12554756248","63178.94814381711","115270.07882444994","","",""
"21301","95359.43176837725","67425.18595343646","114017.27806796774","","",""
"21402","96800.6020262057","69235.76507784321","113884.69841943817","","",""
"21503","98702.33886389656","69639.12573456985","115943.26635019944","","",""
"21604","95640.09630160038","66041.50184391675","114622.88190369889","","",""
"21705","96038.96031677468","62502.9421647233","113414.59294134559","","",""
"21806","97207.0068924291","65848.80457271077","113761.85956951517","","",""
"21907","99361.68744907288","70200.3714600735","116262.52339610262","","",""
"22008","95699.26479512248","71765.08778858239","111895.58118648097","","",""
"22109","97163.39626523736","69609.59959750355","111643.764847275","","",""
"22210","98986.97070902603","71647.48545622204","113538.11490139156","","",""
"22311","94638.82677327248","70243.38957175995","107957.37590643505","","",""
"22412","85288.5906114864","69439.21451467431","107196.90952319831","","",""
"22513","97287.76692243082","70523.21162548255","124416.38172239345","","",""
"22614","97241.84727173187","69047.55134199173","117437.79073591818","","",""
"22715","93989.00449006491","66206.0430603727","117095.51667602234","","",""
"22816","92764.02847641859","65036.16057923351","119263.4337340725","","",""
"22917","98528.8607363801","68207.18213730257","121787.77776609611","","",""
"23018","97913.92213918874","68520.44785037174","112975.78868290676","","",""
"23119","101094.94896169535","68099.47668983255","122110.77961080788","","",""
"23220","97167.30116447467","61467.610935812794","117559.82260268055","","",""
"23321","100069.9855151723","67057.17299738794","119096.43561188116","","",""
"23422","98271.07587852453","65905.92521596779","116435.59861111578","","",""
"23523","101754.57113797218","67756.70716177861","123990.43658870188","","",""
"23624","99039.02091469029","65414.66862196235","119624.11920407164","","",""
"23725","99151.51156103757","68709.48002610204","118250.88202328482","","",""
"23826","98718.30490977377","69714.11948465976","117254.86402206484","","",""
"23927","93609.62078994972","65853.67591915303","108596.22089775997","","",""
"24028","98951.85450402896","68854.80551255976","117595.84900994138","","",""
"24129","96090.31436861122","65264.987413024144","114937.55192083938","","",""
"24230","94432.70364466256","68071.65592219665","108302.31543166717","","",""
"24331","96613.46130012255","69023.2578509154","111994.55538134306","","",""
"24432","98293.33502792307","68318.86884337591","116366.27216447043","","",""
"24533","96702.72724573147","71140.4626583858","112503.03233931636","","",""
"24634","94507.5131657039","65907.95084932048","113375.3367875989","","",""
"24735","97263.6327621045","64924.63623652661","116546.10566946396","","",""
"24836","96953.0707919059","72174.30696628636","116644.44193239056","","",""
"24937","96417.81722402041","68339.36014805501","117202.6181585805","","",""
"25038","98247.29133500277","70868.63436509382","116030.01512719606","","",""
"25139","97508.94290941035","67554.11211279749","116155.89141891022","","",""
"25240","97145.83811733134","69049.45420503529","114726.00267358148","","",""
"25341","97402.87323092546","63557.11698019453","115745.87605820896","","",""
"25442","96146.61601906955","68668.00099032222","114728.04591767889","","",""
"25543","97942.08763850178","67513.51663683899","119433.84605307606","","",""
"25644","96652.41226660459","64679.67191378244","116955.47043090484","","",""
"25745","97072.22072441607","67323.27475046093","117343.03929002388","","",""
"25846","98773.96682978199","66167.64951849861","117245.92673698787","","",""
"25947","101511.27587171785","69648.46641637989","119860.89456099704","","",""
"26048","101084.4725448545","64996.36428619627","119215.35415738965","","",""
"26149","100887.07059132052","67941.0969705432","117592.39109919115","","",""
"26250","99044.96848736312","65969.04460428795","116055.48565001751","","",""
"26351","99092.16347729991","72135.18466023737","116687.34002257082","","",""
"26452","99940.96134263994","71383.16778075972","117483.55584315646","","",""
"26553","98063.96460073309","68694.34495685429","115603.88213687869","","",""
"26654","98456.9735138478","69919.44097444759","117222.76252078239","","",""
"26755","97230.07335521407","69810.67669302519","112886.21598669195","","",""
"26856","98277.50103764974","67924.99838604528","116815.92449455234","","",""
"26957","99342.38442177502","71046.22603373342","117291.48731299637","","",""
"27058","101059.24321519524","70219.19640237257","117715.28524553633","","",""
"27159","101435.86026329927","67671.13967022387","120466.37280814935","","",""
"27260","101715.79140992626","69250.48693042276","119862.64573852732","","",""
"27361","99687.0415790102","69969.6872804694","118251.07021106782","","",""
"27462","98729.60994060586","70313.51514067613","117683.69575525224","","",""
"27563","98804.58928595817","70199.03097295016","115121.78027094576","","",""
"27664","100209.72697280913","71163.10072031853","116202.46522089056","","",""
"27765","100576.02353646346","68910.27239175612","120551.56088125565","","",""
"27866","101049.39631245767","70712.19336070935","118809.1288746451","","",""
"27967","100784.46736515379","72090.58564099125","117612.44495585977","","",""
"28068","100623.62026358732","70914.71745607408","116532.01814511015","","",""
"28169","99670.62697613057","73358.98252603623","118413.5052025561","","",""
"28270","101492.87826250687","73068.33735427348","115742.20348420864","","",""
"28371","99455.55608840469","68240.79382471164","118162.63204810963","","",""
"28472","99311.97686068724","71357.4804820707","117116.04007853396","","",""
"28573","98099.04274301081","70886.24181909359","117787.49230861242","","",""
"28674","98366.71430082002","69989.1347398186","116885.82579014855","","",""
"28775","98235.00460180355","70420.99452439882","118384.08280909117","","",""
"28876","98538.48297505513","72823.82912431115","118415.74325146174","","",""
"28977","97456.14832360369","69539.16291066137","116813.28766254682","","",""
"29078","99854.79706283381","69816.6474877921","117876.40775783968","","",""
"29179","98082.46336960525","72259.54134450464","111219.20249242925","","",""
"29280","101041.93331913848","66116.06258007124","119529.04104266953","","",""
"29381","102700.62141803803","71178.24127420704","118755.90582152102","","",""
"29482","102252.46491505219","67308.61586265203","121257.63876877568","","",""
"29583","103982.34893982654","70411.21397596797","120906.90713293456","","",""
"29684","102406.88793965026","74041.25193350577","117399.76733330623","","",""
"29785","101456.00454946606","70003.65478263114","118072.78256347649","","",""
"29886","99845.22828577994","69093.31518260852","117952.59829753752","","",""
"29987","99602.37395946552","67643.00039681866","119849.3872390085","","",""
"30088","99803.933974817","68686.1908868131","118100.57152941113","","",""
"30189","101711.95134410793","74646.14263741058","119153.17072148107","","",""
"30290","101823.87397544323","70364.28168011192","117583.96853702882","","",""
"30391","102227.17394709877","73268.42121040961","118795.50750864949","","",""
"30492","101339.05570622704","71571.36781474118","118159.45701404431","","",""
"30593","101224.47750660185","69389.55722799839","117494.52679026924","","",""
"30694","102061.62811453907","69870.25182459106","119249.52377842349","","",""
"30795","99219.44403409703","65388.135449765185","119416.9021541458","","",""
"30896","97177.2217078883","69993.84264576153","112072.82927825794","","",""
"30997","98700.20521478413","69906.5098586051","114439.25645450973","","",""
"31098","102123.88822114134","71219.41584877582","120423.55064268527","","",""
"31199","102299.2972752413","68964.99544577129","120934.8225359184","","",""
"31300","99983.07733780732","65948.3070113521","120000.30768266851","","",""
"31401","97785.47179392567","66264.33343549761","116592.40008628192","","",""
"31502","99974.38926789582","66205.52569344007","120472.65834231897","","",""
"31603","98005.5080488613","63332.035334807224","121603.07680595966","","",""
"31704","97204.31210068862","65686.6584317656","118278.55022758257","","",""
"31805","97591.34763274482","65778.98359104202","118872.48909232552","","",""
"31906","97091.28550583757","66098.42744804712","114925.46917333755","","",""
"32007","97353.00590570901","66953.31238788932","115607.31634412555","","",""
"32108","99655.48885752463","69801.63612425666","118790.71395521061","","",""
"32209","100257.24730349572","72710.69203690441","119707.1843867151","","",""
"32310","101968.45027736972","72130.27449943301","119301.65432454314","","",""
"32411","100482.0391580843","72111.96136741154","119827.67331038511","","",""
"32512","100541.28550460377","72455.9017829603","118049.8948346102","","",""
"32613","102908.13415271493","71050.16417434288","119297.32041942973","","",""
"32714","103850.74818698702","76426.09053515631","117918.23818404188","","",""
"32815","98772.05267477076","73017.58961011657","114922.58827824381","","",""
"32916","98185.09604459097","73638.216499142","111422.75359394154","","",""
"33017","95288.8172013448","70405.83893495132","112732.85250962655","","",""
"33118","98112.72321766657","73014.39374187923","111831.89306126545","","",""
"33219","101314.79661491024","70266.99734107964","119205.79995056585","","",""
"33320","98396.2495181086","70197.18901938968","112910.15136037162","","",""
"33421","98226.7726543348","69112.83435234889","114614.06518857776","","",""
"33522","96497.30601888547","67125.78503828775","111303.80829743561","","",""
"33623","96203.74594146863","66943.06512058937","112925.10025939438","","",""
"33724","96382.96577053149","67379.39946230016","115055.28648096556","","",""
"33825","98730.95786037267","68160.27272109054","116347.9492123544","","",""
"33926","98645.82459084976","68400.18063493798","116553.1991235246","","",""
"34027","98251.66662038343","64837.119324680934","119489.76026012581","","",""
"34128","98295.53539464856","66203.07471993135","116571.1786704352","","",""
"34229","99246.1510242718","68805.536819487","118513.60364047193","","",""
"34330","101924.09948565705","68000.14969760164","119550.93761693963","","",""
"34431","100172.47835264746","69195.57398124415","116138.18143505423","","",""
"34532","98674.4482600891","66084.34771303364","116623.07838969903","","",""
"34633","98169.12716921729","66207.53703323341","114547.29299405924","","",""
"34734","93932.57198082864","70017.2927254595","115052.63307055863","","",""
"34835","94127.36871963534","69825.81982703744","115454.42486225802","","",""
"34936","92892.5478898002","68719.44007886716","114135.45806225287","","",""
"35037","97327.83924243118","69689.2772081515","113816.00356997753","","",""
"35138","97074.10316611575","69356.03788798742","111910.6578350896","","",""
"35239","97782.18033841143","69032.82647916433","113458.69089686732","","",""
"35340","96268.86194202623","70463.11504802422","111093.22613633133","","",""
"35441","97580.18949532091","70144.79549121151","112714.14537450788","","",""
"35542","98192.57557056476","69730.88631468406","112674.82822010077","","",""
"35643","99350.69484626378","69057.29033088413","117248.75827869863","","",""
"35744","98704.97853041806","69045.58601142181","115707.04681091517","","",""
"35845","98472.87276665507","66988.21029413026","117050.96724228456","","",""
"35946","98326.84284333885","66586.49639827362","118194.32698633571","","",""
"36047","101847.54516504852","66360.69448512842","120662.4614581159","","",""
"36148","98059.62787053816","67967.08135720805","114678.48214053326","","",""
"36249","99652.87202042706","69959.3181180174","118887.56162979911","","",""
"36350","101279.22609240028","75580.44309305148","118633.59092161301","","",""
"36451","100218.51601782134","69298.44301683051","118856.16455159409","","",""
"36552","100300.23298597976","70372.28966893433","118303.97043730463","","",""
"36653","99419.05304943181","69785.37826160865","117487.51768885077","","",""
"36754","100446.04764909053","71179.95980043247","118066.94804712664","","",""
"36855","103140.57450623345","71789.06841437763","119850.47936138141","","",""
"36956","100200.66367360686","71571.81437153748","115839.83978341543","","",""
"37057","98775.87011551026","67536.80589795747","115727.09209252201","","",""
"37158","98096.58515757955","68038.37222842497","113523.11677392147","","",""
"37259","103091.18129685907","68914.45496180697","121790.98757129477","","",""
"37299","","","","28321.208403342025","28321.208403342025","28321.208403342025"
"37343","","","","29753.644884412388","29753.644884412388","29753.644884412388"
"37360","102143.52446437218","68488.4617575405","120012.2545989855","","",""
"37461","101337.6949156698","68056.8500995667","122076.97111224335","","",""
"37562","103209.50317402324","68307.01171341076","121713.12887477248","","",""
"37663","105057.18682486058","67669.65119845982","123987.84713097243","","",""
"37764","102934.31265193403","68824.11500392402","123927.86471062593","","",""
"37865","100684.0997516077","66909.45164610594","117634.1685111073","","",""
"37966","104170.72082452214","70386.41624020836","121153.82596458687","","",""
"38067","105279.39171738182","70087.35743525479","124393.147187473","","",""
"38168","101041.3535504192","70283.16160685038","119377.61395811847","","",""
"38269","100181.82924673","67119.6481329361","120253.47875790118","","",""
"38370","101120.95753986253","67493.26941386175","119148.92493296509","","",""
"38471","101044.27544210367","68587.50617333852","120896.2131572987","","",""
"38572","101047.36733447229","69764.4985525097","117231.04201573346","","",""
"38673","99053.40961140701","68214.49719658561","115454.40177673532","","",""
"38774","101490.19146634683","66845.35538502414","119861.11609285674","","",""
"38875","102089.74976115332","70823.22598371128","119295.5020694669","","",""
"38976","99446.85857959923","66027.9601155169","117834.47129552864","","",""
"39077","101704.74522878532","69473.97390516187","119994.40729936305","","",""
"39178","100439.48179645349","74180.00514577852","115686.216842408","","",""
"39253","","","","33344.638178438356","33344.638178438356","33344.638178438356"
"39279","99934.44993695342","73892.15919055576","113618.59256531372","","",""
"39380","99969.47333393287","70056.08916613972","118499.82690621368","","",""
"39481","100845.11507121222","69009.85125518308","118793.24354893796","","",""
"39582","100512.17652537844","69639.24059941813","117153.74351334943","","",""
"39683","102398.18676514267","75921.79688635835","116565.99870608648","","",""
"39784","102590.0751739164","72535.00330300721","118486.56096744254","","",""
"39885","101730.75923020732","74211.38955691071","117316.02499628656","30557.731332802327","30557.731332802327","30557.731332802327"
"39986","100041.38556270674","67908.01150110521","117551.16261387372","","",""
"40087","101851.43262034275","70934.41729601487","117423.97801970689","","",""
"40109","","","","28715.57932351988","28715.57932351988","28715.57932351988"
"40188","102907.71455130623","73786.21289516361","118611.22444267207","","",""
"40289","102464.86659947418","74132.09455437506","116989.81549829745","","",""
"40390","103231.87027259187","73344.63219849208","119221.54454613956","","",""
"40491","104028.09370623226","79901.35835528403","117020.74367718834","","",""
"40592","101479.27336380514","71646.40722584813","118075.94430349421","","",""
"40693","100972.74894910026","70644.02027288511","118241.44151696193","","",""
"40794","99981.00697420485","69787.68429434173","115551.84505123846","","",""
"40895","101383.68547152693","75466.2257294592","114567.1584715005","","",""
"40996","100565.37563256746","75222.16350031614","114687.70102886917","","",""
"41097","98827.2551546369","72239.3850501132","112326.56070936454","","",""
"41198","99192.22479617142","72872.93451201657","112477.34504377018","","",""
"41299","99903.56955317833","75152.25832823548","113626.95807886875","","",""
"41400","101306.74233800365","74843.62824220913","115267.9556721962","","",""
"41501","103064.25890735588","77767.95507756175","118278.52862204408","","",""
"41602","100694.22229928886","72647.14107644475","114833.59956253681","","",""
"41703","100940.70608695499","78166.05025567424","113207.91820631942","","",""
"41804","100757.6938111746","74377.30552907984","114452.11460194076","","",""
"41905","101620.6618331244","77922.19784715903","115509.51028500467","","",""
"42006","102189.7151980861","78820.5798827252","114488.78956435093","","",""
"42017","","","","34190.33167375166","34190.33167375166","34190.33167375166"
"42107","102840.51542259943","75120.32123727794","116854.93220058993","","",""
"42208","99626.53707375789","76398.00390680539","113090.58800189149","","",""
"42309","101470.39247463348","76017.31402613202","118143.53445316627","","",""
"42410","98948.87651746887","75693.96587120688","111519.288555979","","",""
"42495","","","","30968.19417501999","30968.19417501999","30968.19417501999"
"42511","101493.1539993357","73097.48750853872","116838.94164426802","","",""
"42612","102645.9893199565","77432.26764689267","116348.34178970932","","",""
